name,surname,born,died,birthplace,motivation,category,year
Arthur H.,Compton,1892-09-10,1962-03-15,USA,for his discovery of the effect named after him,physics,1927
C.T.R.,Wilson,1869-02-14,1959-11-15,Scotland,for his method of making the paths of electrically charged particles visible by condensation of vapour,physics,1927
Owen Willans,Richardson,1879-04-26,1959-02-15,United Kingdom,for his work on the thermionic phenomenon and especially for the discovery of the law named after him,physics,1928
Louis,de Broglie,1892-08-15,1987-03-19,France,for his discovery of the wave nature of electrons,physics,1929
Sir Chandrasekhara Venkata,Raman,1888-11-07,1970-11-21,India,for his work on the scattering of light and for the discovery of the effect named after him,physics,1930
Werner,Heisenberg,1901-12-05,1976-02-01,Germany,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",physics,1932
Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,for the discovery of new productive forms of atomic theory,physics,1933
Paul A.M.,Dirac,1902-08-08,1984-10-20,United Kingdom,for the discovery of new productive forms of atomic theory,physics,1933
James,Chadwick,1891-10-20,1974-07-24,United Kingdom,for the discovery of the neutron,physics,1935
Victor F.,Hess,1883-06-24,1964-12-17,Austria,for his discovery of cosmic radiation,physics,1936
Carl D.,Anderson,1905-09-03,1991-01-11,USA,for his discovery of the positron,physics,1936
Clinton,Davisson,1881-10-22,1958-02-01,USA,for their experimental discovery of the diffraction of electrons by crystals,physics,1937
George Paget,Thomson,1892-05-03,1975-09-10,United Kingdom,for their experimental discovery of the diffraction of electrons by crystals,physics,1937
Enrico,Fermi,1901-09-29,1954-11-28,Italy,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",physics,1938
Ernest,Lawrence,1901-08-08,1958-08-27,USA,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",physics,1939
Otto,Stern,1888-02-17,1969-08-17,Germany (now Poland),for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,physics,1943
Isidor Isaac,Rabi,1898-07-29,1988-01-11,Austria-Hungary (now Poland),for his resonance method for recording the magnetic properties of atomic nuclei,physics,1944
Wolfgang,Pauli,1900-04-25,1958-12-15,Austria,"for the discovery of the Exclusion Principle, also called the Pauli Principle",physics,1945
Percy W.,Bridgman,1882-04-21,1961-08-20,USA,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",physics,1946
Edward V.,Appleton,1892-09-06,1965-04-21,United Kingdom,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,physics,1947
Patrick M.S.,Blackett,1897-11-18,1974-07-13,United Kingdom,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",physics,1948
Hideki,Yukawa,1907-01-23,1981-09-08,Japan,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,physics,1949
Cecil,Powell,1903-12-05,1969-08-09,United Kingdom,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,physics,1950
John,Cockcroft,1897-05-27,1967-09-18,United Kingdom,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,physics,1951
Ernest T.S.,Walton,1903-10-06,1995-06-25,Ireland,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,physics,1951
Felix,Bloch,1905-10-23,1983-09-10,Switzerland,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,physics,1952
E. M.,Purcell,1912-08-30,1997-03-07,USA,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,physics,1952
Frits,Zernike,1888-07-16,1966-03-10,the Netherlands,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",physics,1953
Max,Born,1882-12-11,1970-01-05,Germany (now Poland),"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",physics,1954
Walther,Bothe,1891-01-08,1957-02-08,Germany,for the coincidence method and his discoveries made therewith,physics,1954
Willis E.,Lamb,1913-07-12,2008-05-15,USA,for his discoveries concerning the fine structure of the hydrogen spectrum,physics,1955
Polykarp,Kusch,1911-01-26,1993-03-20,Germany,for his precision determination of the magnetic moment of the electron,physics,1955
William B.,Shockley,1910-02-13,1989-08-12,United Kingdom,for their researches on semiconductors and their discovery of the transistor effect,physics,1956
John,Bardeen,1908-05-23,1991-01-30,USA,for their researches on semiconductors and their discovery of the transistor effect,physics,1956
John,Bardeen,1908-05-23,1991-01-30,USA,for their researches on semiconductors and their discovery of the transistor effect,physics,1956
Walter H.,Brattain,1902-02-10,1987-10-13,China,for their researches on semiconductors and their discovery of the transistor effect,physics,1956
Chen Ning,Yang,1922-09-22,0000-00-00,China,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,physics,1957
Tsung-Dao,Lee,1926-11-24,0000-00-00,China,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,physics,1957
Pavel A.,Cherenkov,1904-07-28,1990-01-06,Russia,for the discovery and the interpretation of the Cherenkov effect,physics,1958
Igor Y.,Tamm,1895-07-08,1971-04-12,Russia,for the discovery and the interpretation of the Cherenkov effect,physics,1958
Emilio,Segrè,1905-02-01,1989-04-22,Italy,for their discovery of the antiproton,physics,1959
Owen,Chamberlain,1920-07-10,2006-02-28,USA,for their discovery of the antiproton,physics,1959
Donald A.,Glaser,1926-09-21,2013-02-28,USA,for the invention of the bubble chamber,physics,1960
Robert,Hofstadter,1915-02-05,1990-11-17,USA,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,physics,1961
Rudolf,Mössbauer,1929-01-31,2011-09-14,Germany,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,physics,1961
Lev,Landau,1908-01-22,1968-04-01,Russian Empire (now Azerbaijan),"for his pioneering theories for condensed matter, especially liquid helium",physics,1962
Eugene,Wigner,1902-11-17,1995-01-01,Austria-Hungary (now Hungary),"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",physics,1963
Maria,Goeppert Mayer,1906-06-28,1972-02-20,Germany (now Poland),for their discoveries concerning nuclear shell structure,physics,1963
J. Hans D.,Jensen,1907-06-25,1973-02-11,Germany,for their discoveries concerning nuclear shell structure,physics,1963
Charles H.,Townes,1915-07-28,2015-01-27,USA,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",physics,1964
Nicolay G.,Basov,1922-12-14,2001-07-01,USSR (now Russia),"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",physics,1964
Aleksandr M.,Prokhorov,1916-07-11,2002-01-08,Australia,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",physics,1964
Sin-Itiro,Tomonaga,1906-03-31,1979-07-08,Japan,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",physics,1965
Julian,Schwinger,1918-02-12,1994-07-16,USA,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",physics,1965
Richard P.,Feynman,1918-05-11,1988-02-15,USA,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",physics,1965
Alfred,Kastler,1902-05-03,1984-01-07,Germany (now France),for the discovery and development of optical methods for studying Hertzian resonances in atoms,physics,1966
Hans,Bethe,1906-07-02,2005-03-06,Germany (now France),"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",physics,1967
Luis,Alvarez,1911-06-13,1988-09-01,USA,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",physics,1968
Murray,Gell-Mann,1929-09-15,2019-05-24,USA,for his contributions and discoveries concerning the classification of elementary particles and their interactions,physics,1969
Hannes,Alfvén,1908-05-30,1995-04-02,Sweden,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,physics,1970
Louis,Néel,1904-11-22,2000-11-17,France,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,physics,1970
Dennis,Gabor,1900-06-05,1979-02-08,Hungary,for his invention and development of the holographic method,physics,1971
Leon N.,Cooper,1930-02-28,0000-00-00,USA,"for their jointly developed theory of superconductivity, usually called the BCS-theory",physics,1972
Robert,Schrieffer,1931-05-31,2019-07-27,USA,"for their jointly developed theory of superconductivity, usually called the BCS-theory",physics,1972
Leo,Esaki,1925-03-12,0000-00-00,Japan,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",physics,1973
Ivar,Giaever,1929-04-05,0000-00-00,Norway,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",physics,1973
Brian D.,Josephson,1940-01-04,0000-00-00,United Kingdom,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",physics,1973
Martin,Ryle,1918-09-27,1984-10-14,United Kingdom,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",physics,1974
Antony,Hewish,1924-05-11,2021-09-13,United Kingdom,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",physics,1974
Aage N.,Bohr,1922-06-19,2009-09-08,Denmark,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,physics,1975
Ben R.,Mottelson,1926-07-09,2022-05-13,USA,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,physics,1975
James,Rainwater,1917-12-09,1986-03-31,USA,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,physics,1975
Burton,Richter,1931-03-22,2018-07-18,USA,for their pioneering work in the discovery of a heavy elementary particle of a new kind,physics,1976
Samuel C.C.,Ting,1936-01-27,0000-00-00,USA,for their pioneering work in the discovery of a heavy elementary particle of a new kind,physics,1976
Philip W.,Anderson,1923-12-13,2020-03-29,USA,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,physics,1977
Sir Nevill F.,Mott,1905-09-30,1996-08-08,United Kingdom,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,physics,1977
John H.,Van Vleck,1899-03-13,1980-10-27,USA,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,physics,1977
Pyotr,Kapitsa,1894-07-09,1984-04-08,Russian Empire (now Russia),for his basic inventions and discoveries in the area of low-temperature physics,physics,1978
Arno,Penzias,1933-04-26,0000-00-00,Germany,for their discovery of cosmic microwave background radiation,physics,1978
Robert Woodrow,Wilson,1936-01-10,0000-00-00,USA,for their discovery of cosmic microwave background radiation,physics,1978
Sheldon,Glashow,1932-12-05,0000-00-00,USA,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",physics,1979
Abdus,Salam,1926-01-29,1996-11-21,India (now Pakistan),"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",physics,1979
Steven,Weinberg,1933-05-03,2021-07-23,USA,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",physics,1979
James,Cronin,1931-09-29,2016-08-25,USA,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,physics,1980
Val,Fitch,1923-03-10,2015-02-05,USA,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,physics,1980
Nicolaas,Bloembergen,1920-03-11,2017-09-05,the Netherlands,for their contribution to the development of laser spectroscopy,physics,1981
Arthur L.,Schawlow,1921-05-05,1999-04-28,USA,for their contribution to the development of laser spectroscopy,physics,1981
Kai M.,Siegbahn,1918-04-20,2007-07-20,Sweden,for his contribution to the development of high-resolution electron spectroscopy,physics,1981
Kenneth G.,Wilson,1936-06-08,2013-06-15,USA,for his theory for critical phenomena in connection with phase transitions,physics,1982
Subramanyan,Chandrasekhar,1910-10-19,1995-08-21,India (now Pakistan),for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,physics,1983
William A.,Fowler,1911-08-09,1995-03-14,USA,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,physics,1983
Carlo,Rubbia,1934-03-31,0000-00-00,Italy,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",physics,1984
Simon,van der Meer,1925-11-24,2011-03-04,the Netherlands,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",physics,1984
Klaus,von Klitzing,1943-06-28,0000-00-00,German-occupied Poland (now Poland),for the discovery of the quantized Hall effect,physics,1985
Ernst,Ruska,1906-12-25,1988-05-27,Germany,"for his fundamental work in electron optics, and for the design of the first electron microscope",physics,1986
Gerd,Binnig,1947-07-20,0000-00-00,West Germany (now Germany),for their design of the scanning tunneling microscope,physics,1986
Heinrich,Rohrer,1933-06-06,2013-05-16,Switzerland,for their design of the scanning tunneling microscope,physics,1986
J. Georg,Bednorz,1950-05-16,0000-00-00,West Germany (now Germany),for their important break-through in the discovery of superconductivity in ceramic materials,physics,1987
K. Alex,Müller,1927-04-20,0000-00-00,Switzerland,for their important break-through in the discovery of superconductivity in ceramic materials,physics,1987
Leon M.,Lederman,1922-07-15,2018-10-03,USA,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,physics,1988
Melvin,Schwartz,1932-11-02,2006-08-28,USA,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,physics,1988
Jack,Steinberger,1921-05-25,2020-12-12,Germany,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,physics,1988
Norman F.,Ramsey,1915-08-27,2011-11-04,USA,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,physics,1989
Hans G.,Dehmelt,1922-09-09,2017-03-07,Prussia (now Germany),for the development of the ion trap technique,physics,1989
Wolfgang,Paul,1913-08-10,1993-12-07,Germany,for the development of the ion trap technique,physics,1989
Jerome I.,Friedman,1930-03-28,0000-00-00,USA,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",physics,1990
Henry W.,Kendall,1926-12-09,1999-02-15,USA,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",physics,1990
Richard E.,Taylor,1929-11-02,2018-02-22,Canada,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",physics,1990
Pierre-Gilles,de Gennes,1932-10-24,2007-05-18,France,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",physics,1991
Georges,Charpak,1924-08-01,2010-09-29,Poland,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",physics,1992
Russell A.,Hulse,1950-11-28,0000-00-00,USA,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",physics,1993
Joseph H.,Taylor Jr.,1941-03-29,0000-00-00,USA,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",physics,1993
Bertram N.,Brockhouse,1918-07-15,2003-10-13,Canada,for the development of neutron spectroscopy,physics,1994
Clifford G.,Shull,1915-09-23,2001-03-31,USA,for the development of the neutron diffraction technique,physics,1994
Martin L.,Perl,1927-06-24,2014-09-30,USA,for the discovery of the tau lepton,physics,1995
Frederick,Reines,1918-03-16,1998-08-26,USA,for the detection of the neutrino,physics,1995
David M.,Lee,1931-01-20,0000-00-00,USA,for their discovery of superfluidity in helium-3,physics,1996
Douglas D.,Osheroff,1945-08-01,0000-00-00,USA,for their discovery of superfluidity in helium-3,physics,1996
Robert C.,Richardson,1937-06-26,2013-02-19,USA,for their discovery of superfluidity in helium-3,physics,1996
Steven,Chu,1948-02-28,0000-00-00,USA,for development of methods to cool and trap atoms with laser light,physics,1997
Claude,Cohen-Tannoudji,1933-04-01,0000-00-00,French Algeria (now Algeria),for development of methods to cool and trap atoms with laser light,physics,1997
William D.,Phillips,1948-11-05,0000-00-00,USA,for development of methods to cool and trap atoms with laser light,physics,1997
Robert B.,Laughlin,1950-11-01,0000-00-00,USA,for their discovery of a new form of quantum fluid with fractionally charged excitations,physics,1998
Horst L.,Störmer,1949-04-06,0000-00-00,West Germany (now Germany),for their discovery of a new form of quantum fluid with fractionally charged excitations,physics,1998
Daniel C.,Tsui,1939-02-28,0000-00-00,China,for their discovery of a new form of quantum fluid with fractionally charged excitations,physics,1998
Gerardus,'t Hooft,1946-07-05,0000-00-00,the Netherlands,for elucidating the quantum structure of electroweak interactions in physics,physics,1999
Martinus J.G.,Veltman,1931-06-27,2021-01-04,the Netherlands,for elucidating the quantum structure of electroweak interactions in physics,physics,1999
Jacobus H.,van 't Hoff,1852-08-30,1911-03-01,the Netherlands,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,chemistry,1901
Emil,Fischer,1852-10-09,1919-07-15,Prussia (now Germany),in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,chemistry,1902
Svante,Arrhenius,1859-02-19,1927-10-02,Sweden,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,chemistry,1903
Sir William,Ramsay,1852-10-02,1916-07-23,Scotland,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",chemistry,1904
Adolf,von Baeyer,1835-10-31,1917-08-20,Prussia (now Germany),"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",chemistry,1905
Henri,Moissan,1852-09-28,1907-02-20,France,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",chemistry,1906
Eduard,Buchner,1860-05-20,1917-08-13,Bavaria (now Germany),for his biochemical researches and his discovery of cell-free fermentation,chemistry,1907
Ernest,Rutherford,1871-08-30,1937-10-19,New Zealand,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",chemistry,1908
Wilhelm,Ostwald,1853-09-02,1932-04-04,Russian Empire (now Latvia),in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,chemistry,1909
Otto,Wallach,1847-03-27,1931-02-26,Germany (now Russia),in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,chemistry,1910
Victor,Grignard,1871-05-06,1935-12-13,France,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",chemistry,1912
Paul,Sabatier,1854-11-05,1941-08-14,France,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,chemistry,1912
Alfred,Werner,1866-12-12,1919-11-15,France,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,chemistry,1913
Theodore W.,Richards,1868-01-31,1928-04-02,USA,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,chemistry,1914
Richard,Willstätter,1872-08-13,1942-08-03,Germany,"for his researches on plant pigments, especially chlorophyll",chemistry,1915
Fritz,Haber,1868-12-09,1934-01-29,Prussia (now Poland),for the synthesis of ammonia from its elements,chemistry,1918
Walther,Nernst,1864-06-25,1941-11-18,Prussia (now Poland),in recognition of his work in thermochemistry,chemistry,1920
Frederick,Soddy,1877-09-02,1956-09-22,United Kingdom,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",chemistry,1921
Francis W.,Aston,1877-09-01,1945-11-20,United Kingdom,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",chemistry,1922
Fritz,Pregl,1869-09-03,1930-12-13,Austria-Hungary (now Slovenia),for his invention of the method of micro-analysis of organic substances,chemistry,1923
Richard,Zsigmondy,1865-04-01,1929-09-24,Austrian Empire (now Austria),"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",chemistry,1925
The,Svedberg,1884-08-30,1971-02-25,Sweden,for his work on disperse systems,chemistry,1926
Heinrich,Wieland,1877-06-04,1957-08-05,Germany,for his investigations of the constitution of the bile acids and related substances,chemistry,1927
Adolf,Windaus,1876-12-25,1959-06-09,Germany,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,chemistry,1928
Arthur,Harden,1865-10-12,1940-06-17,United Kingdom,for their investigations on the fermentation of sugar and fermentative enzymes,chemistry,1929
Hans,von Euler-Chelpin,1873-02-15,1964-11-06,Germany,for their investigations on the fermentation of sugar and fermentative enzymes,chemistry,1929
Hans,Fischer,1881-07-27,1945-03-31,Germany,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,chemistry,1930
Carl,Bosch,1874-08-27,1940-04-26,Germany,in recognition of their contributions to the invention and development of chemical high pressure methods,chemistry,1931
Friedrich,Bergius,1884-10-11,1949-03-30,Germany (now Poland),in recognition of their contributions to the invention and development of chemical high pressure methods,chemistry,1931
Irving,Langmuir,1881-01-31,1957-08-16,USA,for his discoveries and investigations in surface chemistry,chemistry,1932
Harold C.,Urey,1893-04-29,1981-01-05,USA,for his discovery of heavy hydrogen,chemistry,1934
Frédéric,Joliot,1900-03-19,1958-08-14,France,in recognition of their synthesis of new radioactive elements,chemistry,1935
Irène,Joliot-Curie,1897-09-12,1956-03-17,France,in recognition of their synthesis of new radioactive elements,chemistry,1935
Peter,Debye,1884-03-24,1966-11-02,the Netherlands,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,chemistry,1936
Norman,Haworth,1883-03-19,1950-03-19,United Kingdom,for his investigations on carbohydrates and vitamin C,chemistry,1937
Paul,Karrer,1889-04-21,1971-06-18,Russia,"for his investigations on carotenoids, flavins and vitamins A and B2",chemistry,1937
Richard,Kuhn,1900-12-03,1967-07-31,Austria-Hungary (now Austria),for his work on carotenoids and vitamins,chemistry,1938
Adolf,Butenandt,1903-03-24,1995-01-18,Germany,for his work on sex hormones,chemistry,1939
Leopold,Ruzicka,1887-09-13,1976-09-26,Austria-Hungary (now Croatia),for his work on polymethylenes and higher terpenes,chemistry,1939
George,de Hevesy,1885-08-01,1966-07-05,Austria-Hungary (now Hungary),for his work on the use of isotopes as tracers in the study of chemical processes,chemistry,1943
Otto,Hahn,1879-03-08,1968-07-28,Germany,for his discovery of the fission of heavy nuclei,chemistry,1944
Artturi,Virtanen,1895-01-15,1973-11-11,Russian Empire (now Finland),"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",chemistry,1945
James B.,Sumner,1887-11-19,1955-08-12,USA,for his discovery that enzymes can be crystallized,chemistry,1946
John H.,Northrop,1891-07-05,1987-05-27,USA,for their preparation of enzymes and virus proteins in a pure form,chemistry,1946
Wendell M.,Stanley,1904-08-16,1971-06-15,USA,for their preparation of enzymes and virus proteins in a pure form,chemistry,1946
Sir Robert,Robinson,1886-09-13,1975-02-08,United Kingdom,"for his investigations on plant products of biological importance, especially the alkaloids",chemistry,1947
